Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
ULQ,U.S. Capital Markets Micro-Term Fixed Income ETF,2008-02-12,ETF,Capital Markets Liquidity Index,"The Index includes micro-term U.S. Treasury fixed income securities, micro-term U.S. federal agency and other government sponsored entities fixed income securities, micro-term investment grade U.S. corporate fixed income securities, commercial paper, bankers acceptances, large time deposits, and U.S. federal agency discount notes. The Index may also include U.S. registered, dollar-denominated bonds of foreign corporations, governments, agencies and supra-national agencies.",Money Market,Guggenheim,0.27%,$0.01,0.01%,$5.00 ,0.1,, -   ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ULST,SPDR SSgA Ultra Short Term Bond ETF,2013-10-09,ETF,Barclays Capital U.S. 3-Month Treasury Bellwether Index,The index measures the performance of Treasury bills with a maturity of less than three months.,Money Market,State Street SPDR,0.20%,$0.01,0.03%,$12.00 ,0.3,, 0.05 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UMDD,UltraPro MidCap400,2010-02-09,ETF,S&P MidCap 400 Index (300%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,ProShares,0.95%,$0.03,0.14%,$36.90 ,0.4," 16,514 ", 3.53 ,Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UMM,Major Metro Housing Up Trust,2009-06-29,,,This ETF is not linked to a specific benchmark.,Leveraged Real Estate,MacroMarkets,1.25%,,,$0.00 ,0,,,Real Estate,,,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UMX,Ultra MSCI Mexico Investable Market,2010-04-27,ETF,MSCI Mexico Investable Market Index (200%),The index measures the performance of the Mexican equity market.,Leveraged Equities,ProShares,0.95%,,,$4.50 ,0.1," 1,945 ", 3.96 ,Equity,Large-Cap,Blend,Latin America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UNG,United States Natural Gas Fund LP,2007-04-18,Commodity Pool,Natural gas futures,The underlying assets of the fund consist of natural gas futures contracts.,Oil &amp; Gas,US Commodity Funds,0.60%,,,$815.70 ,38.4," 4,844,729 ", 2.62 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UNL,United States 12 Month Natural Gas Fund,2009-11-18,Commodity Pool,Natural gas futures,The underlying assets of the fund consist of natural gas futures contracts.,Oil &amp; Gas,US Commodity Funds,0.75%,,,$28.00 ,1.5," 15,878 ", 1.73 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UOIL,3x Long Brent Crude ETN,2012-02-08,ETN,S&P GSCI Brent Crude Index Excess Return (300%),This index is composed entirely of Brent crude oil futures contracts and is derived by reference to the price levels of the futures contracts on a single commodity as well as the discount or premium obtained by &quot;rolling&quot; hypothetical positions in such contracts forward as they approach delivery.,Leveraged Commodities,VelocityShares,1.35%,,,$0.80 ,0," 1,090 ", 9.06 ,Commodity,,,,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UOY,$100 Oil Up,2008-01-01,,,This ETF is not linked to a specific benchmark.,Oil &amp; Gas,MacroMarkets,0.95%,,,$0.00 ,0,,,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UPRO,UltraPro S&P 500,2009-06-23,ETF,S&P 500 Index (300%),The index measures the performance of large cap U.S. equities.,Leveraged Equities,ProShares,0.95%,$0.04,0.09%,$674.90 ,7.1," 2,191,934 ", 2.95 ,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UPV,Ultra MSCI Europe,2010-04-27,ETF,MSCI Europe Index (200%),"The index is made up of common stocks of companies located in 16 European countries. The countries with the largest capitalization weightings in the index are the United Kingdom, France, Switzerland, and Germany; others represented are Austria, Belgium, Denmark, Finland, Greece, Ireland, Italy, the Netherlands, Norway, Portugal, Spain, and Sweden.",Leveraged Equities,ProShares,0.95%,,,$25.20 ,0.5," 10,705 ", 2.48 ,Equity,Large-Cap,Blend,Developed Europe,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UPW,Ultra Utilities,2007-01-30,ETF,Dow Jones U.S. Utilities Index (200%),"ProShares Ultra Utilities seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Utilities Index.",Leveraged Equities,ProShares,0.95%,$0.52,2.20%,$10.20 ,0.2," 2,447 ", (1.98),Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
URA,Uranium ETF,2010-11-05,ETF,Solactive Global Uranium Index,The index tracks the price movements in shares of companies which are active in the Uranium mining industry.,Commodity Producers Equities,Global X,0.69%,$0.12,0.83%,$132.40 ,8.9," 82,622 ", 1.95 ,Equity,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
URE,Ultra Real Estate,2007-01-30,ETF,Dow Jones U.S. Real Estate Index (200%),"ProShares Ultra Real Estate seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Real Estate Index",Leveraged Real Estate,ProShares,0.95%,$0.24,1.00%,$323.50 ,4.8," 111,956 ", (2.58),Real Estate,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
URR,Market Vectors-Double Long Euro ETN,2008-05-06,ETN,Double Long Euro Index,"As the Index is two-times leveraged, for every 1% strengthening of the euro relative to the U.S. dollar, the level of the Index will generally increase by 2%, while for every 1% weakening of the euro relative to the U.S. dollar, the Index will generally decrease by 2%.",Leveraged Currency,Van Eck,0.65%,,,$0.90 ,0," 3,384 ", 2.07 ,Currency,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
URTH,MSCI World ETF,2012-01-12,ETF,MSCI World Index,The index represents the performance of stocks in developed market countries (including the U.S.) available for purchase by global investors.,Global Equities,iShares,0.24%,$0.38,1.06%,$124.80 ,1.8," 32,827 ", 1.70 ,Equity,Large-Cap,Blend,Developed Markets,5.77%,4.81%,11.20%,10.41%,9.70%,17.98%,11.27%,10.22%,3.06%,11.16%,3.30%,,,click,click,,,,,,,,,,,,,
URTY,UltraPro Russell2000,2010-02-09,ETF,Russell 2000 Index (300%),"The Russell 2000 Index measures the performance of the small-cap segment of the U.S. equity universe and is comprised of the smallest 2000 companies in the Russell 3000 Index, representing approximately 10% of the total market capitalization of that Index. It includes approximately 2000 of the smallest securities based on a combination of their market cap and current index membership.",Leveraged Equities,ProShares,0.95%,$0.01,0.02%,$207.30 ,2.4," 179,663 ", 4.20 ,Equity,Small-Cap,Blend,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
USAG,United States Agriculture Index Fund,2012-04-13,Commodity Pool,SummerHaven Agriculture Index Total Return,"The Index consists of fourteen agricultural markets: soybeans, corn, soft red winter wheat, hard red winter wheat, soybean oil, soybean meal, canola, sugar, cocoa, coffee, cotton, live cattle, feeder cattle and lean hogs. Each agricultural commodity is assigned a base weight based on an assessment of market liquidity and the commodity�s overall economic importance.",Agricultural Commodities,US Commodity Funds,0.80%,,,$2.30 ,0.1," 4,383 ", (1.55),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
USCI,United States Commodity Index Fund,2010-08-10,Commodity Pool,SummerHaven Dynamic Commodity Index Total Return,"The Index is comprised of 14 Futures Contracts that will be selected on a monthlybasis from a list of 27 possible Futures Contracts. The Index is rules-based and rebalanced monthly based on observable price signals. In this context, the term rules based is meant to indicate that the composition of the Index in any given month will be determined by quantitative formulas relating to the prices of the futures contracts that relate to the commodities that are eligible to be included in the Index.",Commodities,US Commodity Funds,0.95%,,,$509.50 ,9," 94,880 ", 0.57 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
USD,Ultra Semiconductors,2007-01-30,ETF,Dow Jones U.S. Semiconductors Index (200%),"ProShares Ultra Semiconductors seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Semiconductors Index.",Leveraged Equities,ProShares,0.95%,$0.09,0.60%,$31.50 ,0.6," 5,042 ", 2.83 ,Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
USDU,Bloomberg U.S. Dollar Bullish Fund,2013-12-18,ETF,Bloomberg Dollar Total Return Index,The index seeks to provide exposure to the U.S. dollar against a broad basket of developed and emerging market currencies based on global trade flows and liquidity measures.,Currency,WisdomTree,0.50%,,,$32.70 ,1.3,, -   ,Currency,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
USL,United States 12 Month Oil,2007-12-06,Commodity Pool,"Light, sweet crude oil delivered to Cushing, Oklahoma","The investment objective of USL is to have the changes in percentage terms of the units' net asset value reflect the changes in percentage terms of the price of light, sweet crude oil, as measured by the changes in the average of the prices of 12 futures contracts on crude oil traded on the New York Mercantile Exchange, consisting of the near month contract to expire and the contracts for the following eleven months, for a total of 12 consecutive months' contracts, except when the near month contract is within two weeks of expiration, in which case it will be measured by the futures contracts that are the next month contract to expire and the contracts for the following eleven consecutive months, less USL's expenses.",Oil &amp; Gas,US Commodity Funds,0.60%,,,$64.80 ,1.5," 13,130 ", 1.01 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
USLV,3x Long Silver ETN,2011-10-17,ETN,S&P GSCI Silver Index ER (300%),The index offers exposure to silver futures contracts.,Leveraged Commodities,VelocityShares,1.65%,,,$126.50 ,2.5," 221,605 ", (8.79),Commodity,,,,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
USMI,United States Metals Index Fund,2012-06-19,Commodity Pool,SummerHaven Dynamic Metals Index Total Return,This index is designed to reflect the performance of a diversified group of metals and is comprised of 10 Eligible Metals Futures Contracts that are selected on a monthly basis based on quantitative formulas developed by SummerHaven Indexing.,Metals,US Commodity Funds,0.70%,,,$2.20 ,0.1," 2,250 ", (2.84),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
USMV,MSCI USA Minimum Volatility ETF,2011-10-20,ETF,MSCI USA Minimum Volatility Index,"The index aims to reflect the performance characteristics of a minimum variance strategy applied to the US large and mid cap equity universe. The index is calculated by optimizing the MSCI USA Index, its parent index, for the lowest absolute risk (within a given set of constraints). Historically, the index has shown lower beta and volatility characteristics relative to the MSCI USA Index.",All Cap Equities,iShares,0.15%,$0.21,2.19%,"$2,406.70 ",68.1," 363,302 ", 0.90 ,Equity,Multi-Cap,Blend,North America,2.81%,4.67%,7.99%,16.59%,5.95%,9.60%,17.63%,10.67%,7.82%,7.75%,8.26%,,,click,click,,,,,,,,,,,,,
USO,United States Oil Fund,2006-04-10,Commodity Pool,"Light, sweet crude oil","Tracks changes in the price of light, sweet crude oil, as measured by the changes in price of the futures contract on light, sweet crude oil traded on the New York Mercantile Exchange.",Oil &amp; Gas,US Commodity Funds,0.45%,,,"$1,375.00 ",38.7," 5,488,388 ", 1.42 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UST,Ultra 7-10 Year Treasury,2010-01-19,ETF,Barclays Capital U.S. 7-10 Year Treasury Index (200%),The index measures the performance of U.S. Treasury securities that have a remaining maturity of at least seven years and less than 10 years.,Leveraged Bonds,ProShares,0.95%,$0.01,0.02%,$14.90 ,0.3," 386,867 ", (1.11),Bond,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
USV,E-TRACS UBS Bloomberg CMCI Silver ETN,2008-04-01,ETN,UBS Bloomberg CMCI Silver Total Return,The CMCI Silver TR measures the collateralized returns from a basket of silver futures contracts. The commodity futures contracts are diversified across five constant maturities from three months up to three years.,Precious Metals,UBS,0.40%,,,$10.80 ,0.4," 13,800 ", (3.20),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
USY,U.S. Current Income,2008-05-19,,,This ETF is not linked to a specific benchmark.,Money Market,WisdomTree,0.25%,,,$0.00 ,0,,,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UTH,HOLDRS Merrill Lynch Utilities,2000-06-22,Grantor Trust,,This ETF is not linked to a specific benchmark.,Utilities Equities,Merrill Lynch HOLDRs,,$0.02,3.28%,$49.70 ,0.4," 22,647 ", 0.68 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UTLT,db X-trackers Regulated Utilities Fund,2013-06-04,ETF,DBIQ Regulated Utilities Index,"The index is designed to track the price movements in shares of companies whose main business operations are in the regulated utilities sector. A company is considered to be in the regulated utilities sector if its ancillary, non-utility businesses are/or unregulated utilities business does not represent more than 25% of the company's earnings before interest, taxes, depreciation and amortization.",Utilities Equities,Deutsche Asset &amp; Wealth Management,0.45%,$0.42,2.68%,$10.00 ,0.4," 29,589 ", 1.31 ,Equity,Large-Cap,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UUP,DB USD Index Bullish,2007-02-20,Commodity Pool,Deutsche Bank Long US Dollar Index (USDX) Futures Index,"The Index is a rules-based index composed solely of long USDX futures contracts. The USDX futures contract is designed to replicate the performance of being long the US Dollar against the following currencies: Euro, Japanese Yen, British Pound, Canadian Dollar, Swedish Krona and Swiss Franc.",Currency,Invesco PowerShares,0.50%,$0.20,,$691.50 ,32," 828,450 ", (0.45),Currency,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
UUPT,3x Long U.S. Dollar Index Futures ETN,2011-05-24,ETN,Deutsche Bank Long U.S. Dollar Index Futures Index - Excess Return (300%),"The index is intended to measure the performance of a long investment in U.S. Dollar Index Futures, which measures the performance of the U.S. dollar against a weighted basket of six major world currencies: the Euro, Japanese Yen, British Pound, Canadian Dollar, Swedish Krona, and Swiss Franc.",Leveraged Currency,Invesco PowerShares,0.95%,,,$3.50 ,0.2," 17,319 ", 2.27 ,Currency,,,,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UVG,Ultra Russell1000 Value,2007-02-20,ETF,Russell 1000 Value Index (200%),"ProShares Ultra Russell 1000 Value seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 1000 Value Index.",Leveraged Equities,ProShares,0.95%,$0.05,0.21%,$9.10 ,0.2, 731 , 2.28 ,Equity,Large-Cap,Value,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UVT,Ultra Russell2000 Value,2007-02-20,ETF,Russell 2000 Value Index (200%),"ProShares Ultra Russell 2000 Value seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 2000 Value Index.",Leveraged Equities,ProShares,0.95%,$0.02,0.25%,$13.00 ,0.2, 781 , 3.06 ,Equity,Small-Cap,Value,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UVU,Ultra Russell MidCap Value,2007-02-20,ETF,Russell MidCap Value Index (200%),"ProShares Ultra Russell MidCap Value seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell MidCap Value Index.",Leveraged Equities,ProShares,0.95%,$0.09,0.16%,$5.60 ,0.1, 662 , 3.12 ,Equity,Mid-Cap,Value,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UVXY,Ultra VIX Short-Term Futures ETF,2011-10-04,Commodity Pool,S&P 500 VIX Short-Term Futures Index (200%),The index measures the movements of a combination of VIX futures and is designed to track changes in the expectation for VIX over a specific time window in the future.,Volatility,ProShares,0.95%,,,$209.40 ,12.8," 9,568,373 ", (7.48),Alternatives,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UWC,Ultra Russell3000,2009-06-30,ETF,Russell 3000 Index (200%),"ProShares Ultra Russell3000 seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 3000 Index.",Leveraged Equities,ProShares,0.95%,$0.07,0.11%,$4.10 ,0.1, 471 , 2.53 ,Equity,,Blend,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UWM,Ultra Russell2000,2007-01-23,ETF,Russell 2000 Index (200%),"The Russell 2000 Index measures the performance of the small-cap segment of the U.S. equity universe and is comprised of the smallest 2000 companies in the Russell 3000 Index, representing approximately 10% of the total market capitalization of that Index. It includes approximately 2000 of the smallest securities based on a combination of their market cap and current index membership.",Leveraged Equities,ProShares,0.95%,$0.01,0.02%,$248.40 ,2.9," 787,272 ", 2.78 ,Equity,Small-Cap,Blend,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
UWTI,3x Long Crude ETN,2012-02-08,ETN,S&P GSCI Crude Oil Index Excess Return (300%),This index is composed entirely of WTI crude oil futures contracts and is derived by reference to the price levels of the futures contracts on a single commodity as well as the discount or premium obtained by &quot;rolling&quot; hypothetical positions in such contracts forward as they approach delivery.,Leveraged Commodities,VelocityShares,1.35%,,,$3.40 ,0.1," 8,222 ", 4.44 ,Commodity,,,,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
UXI,Ultra Industrials,2007-01-30,ETF,Dow Jones U.S. Industrials Index (200%),The index measures the performance of the industrial sector of the U.S. equity market.,Leveraged Equities,ProShares,0.95%,$0.02,0.07%,$31.10 ,0.3," 3,841 ", 2.27 ,Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
